"startdate","enddate","status","ipaddress","progress","duration (in seconds)","finished","recordeddate","responseid","recipientlastname","recipientfirstname","recipientemail","externalreference","locationlatitude","locationlongitude","distributionchannel","userlanguage","q_recaptchascore","q1_2","q1_3","q1_4","q1_5","q1_7","q1_8","tas_1","tas_2","tas_3","tas_4","tas_5","tas_6","tas_7","tas_8","tas_9","tas_10","tas_11","tas_12","tas_13","tas_14","tas_15","tas_16","tas_17","tas_18","tas_19","tas_20","ias_1","ias_2","ias_3","ias_4","ias_5","ias_6","ias_7","ias_8","ias_9","ias_10","ias_11","ias_12","ias_13","ias_14","ias_15","ias_16","ias_17","ias_18","ias_19","ias_20","ias_21","iats_1","iats_2","iats_3","iats_4","iats_5","iats_6","iats_7","iats_8","iats_9","iats_10","iats_11","iats_12","iats_13","iats_14","iats_15","iats_16","iats_17","iats_18","iats_19","iats_20","iats_21","sass_1","sass_2","sass_3","sass_4","sass_5","sass_6","sass_7","sass_8","sass_9","sass_10","sss_8_1","sss_8_2","sss_8_3","sss_8_4","sss_8_5","sss_8_6","sss_8_7","sss_8_8","pcs_1","pcs_2","pcs_3","pcs_4","pcs_5","pcs_6","pcs_7","pcs_8","pcs_9","pcs_10","pcs_11","pcs_12","pcs_13","phq_9_1","phq_9_2","phq_9_3","phq_9_4","phq_9_5","phq_9_6","phq_9_7","phq_9_8","phq_9_9","gad_7_1","gad_7_2","gad_7_3","gad_7_4","gad_7_5","gad_7_6","gad_7_7","stai_1","stai_2","stai_3","stai_4","stai_5","stai_6","stai_7","stai_8","stai_9","stai_10","stai_11","stai_12","stai_13","stai_14","stai_15","stai_16","stai_17","stai_18","stai_19","stai_20","vviq_q_2_1_1","vviq_q_2_1_2","vviq_q_2_1_3","vviq_q_2_1_4","vviq_q2_2_1","vviq_q2_2_2","vviq_q2_2_3","vviq_q2_2_4","vviq_q2_3_1","vviq_q2_3_2","vviq_q2_3_3","vviq_q2_3_4","vviq_q2_4_1","vviq_q2_4_2","vviq_q2_4_3","vviq_q2_4_4","q93","time_used","age","gender","evenodd_score","tas","ias","iats","sass","sss8","pcs","phq9","gad7","stai","vviq","cohort","vviq_k","vviq_q"
"45574.6405787037","45574.64681712963","0.0","155.190.60.38","100.0","539.0","1.0","45574.646836597225","R_8IyLE6ynvrEa6Pk",NA,NA,NA,NA,"53.481","-2.2367","anonymous","EN","1.0","60e57112c8726a1f5cf5c63a","1.0","1.0","1.0","2.0","24",2,2,1,2,2,4,1,2,2,1,2,1,1,2,4,4,1,5,1,2,4,5,4,5,5,5,4,4,4,4,5,2,4,2,4,2,4,2,4,2,2,1,4,1,2,4,2,4,1,2,2,4,2,2,1,1,1,1,2,4,4,2,2,4,4,3,2,3,4,2,1,1,2,1,2,2,2,1,3,3,4,2,1,2,2,1,1,4,4,4,4,3,2,2,2,2,2,1,1,1,1,1,3,1,3,3,1,4,1,1,2,3,2,1,2,3,1,1,2,1,2,2,3,1,1,4,3,2,1,5,5,4,5,5,5,5,5,4,5,3,5,5,5,5,5,NA,539,24,2,-0.883589471910512,42,77,47,26,16,34,13,16,38,76,"control","4","4"
"45574.63957175926","45574.64807870371","0.0","31.127.112.162","100.0","735.0","1.0","45574.64809782407","R_2rC9NQfLtCWOH77",NA,NA,NA,NA,"51.443","-0.3295","anonymous","EN","0.699999988079071","5b74415c2ed50d0001e6c5d1","1.0","1.0","1.0","2.0","38",4,5,4,4,2,5,4,3,4,2,2,4,4,4,2,2,5,4,3,2,2,2,3,2,2,2,2,4,3,4,2,4,3,3,2,1,2,1,4,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,1,3,3,3,1,4,5,5,3,4,2,2,5,4,4,2,4,3,1,1,1,4,3,3,2,3,3,3,2,2,3,4,2,4,5,5,5,4,3,1,1,2,2,1,1,2,1,1,3,1,1,3,1,1,1,3,3,2,2,2,4,4,2,3,3,2,2,4,2,3,3,2,2,2,2,2,3,2,2,3,3,3,2,3,2,2,3,2,2,2,3,NA,735,38,2,-0.927364304874303,69,52,49,33,18,45,12,11,52,39,"control","2","1"
"45574.63959490741","45574.64810185185","0.0","86.141.111.81","100.0","734.0","1.0","45574.6481069213","R_8JXnq84VE856V0d",NA,NA,NA,NA,"51.5565","-3.3558","anonymous","EN","1.0","632073c299a043bc2071e4f7","1.0","1.0","1.0","1.0","31",2,2,1,2,2,1,1,1,1,2,4,2,1,1,2,3,4,5,2,4,3,5,4,4,5,5,5,5,5,5,4,5,4,4,4,2,4,1,3,4,3,1,4,2,4,2,2,2,1,1,1,3,3,1,1,2,1,1,1,2,2,2,1,3,5,1,4,1,2,1,1,1,2,1,1,1,4,1,4,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,3,2,2,2,2,3,1,1,1,1,3,1,1,1,1,2,3,1,2,1,1,1,1,1,2,2,2,3,1,2,3,1,1,2,4,4,4,5,3,2,3,3,4,3,3,4,4,4,3,3,NA,734,31,1,-0.776180402834428,43,84,39,20,15,16,18,9,33,56,"control","3","3"
"45574.64125","45574.64871527778","0.0","195.213.1.120","100.0","645.0","1.0","45574.64873385417","R_26aHhPXQdfpEzwv",NA,NA,NA,NA,"54.7699","-1.559","anonymous","EN","1.0","6703c8e4a3425db37d744404","1.0","1.0","1.0","1.0","21",1,1,1,2,2,2,3,1,3,2,4,4,2,2,2,3,4,4,4,1,4,4,4,4,4,3,4,4,4,4,5,5,4,3,5,2,4,4,4,3,2,3,3,2,4,4,2,4,1,2,1,1,3,1,1,1,4,3,4,2,2,2,1,4,4,1,5,3,1,1,2,1,1,2,1,2,1,1,1,3,2,1,2,1,2,4,2,3,3,3,3,2,3,3,3,4,1,1,1,1,1,1,3,3,3,3,1,3,3,2,2,2,3,2,2,2,2,2,2,1,2,2,4,2,2,2,2,2,1,5,5,3,4,5,5,5,5,4,5,4,5,5,5,5,4,"CQGKCGKU",645,21,1,-0.879031452338518,48,80,50,23,12,31,16,19,41,74,"control","4","4"
"45574.640810185185","45574.64962962963","0.0","82.41.7.73","100.0","761.0","1.0","45574.649638877316","R_862y2SI1L9cqDkd",NA,NA,NA,NA,"54.9912","-1.5336","anonymous","EN","1.0","62ce9896add904c5c58f358c","1.0","1.0","1.0","2.0","30",4,5,3,4,2,2,4,4,3,2,2,2,4,4,3,4,4,5,2,4,2,2,5,4,5,4,4,5,4,2,5,4,4,4,5,4,5,1,2,2,2,2,2,2,4,2,2,2,1,1,1,4,2,1,1,1,2,2,1,4,2,2,3,4,4,4,5,4,5,3,4,2,4,1,2,3,2,1,1,1,2,1,1,1,3,3,1,2,1,2,2,2,3,2,2,2,4,4,2,3,2,2,3,3,3,4,4,5,1,3,3,1,2,3,4,3,2,2,3,3,4,3,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,NA,761,30,2,-0.913356326470498,67,75,41,38,15,24,23,23,55,18,"control","1","1"
"45574.640856481485","45574.64974537037","0.0","194.72.37.254","100.0","768.0","1.0","45574.64975892361","R_8wyJXo1vJl3zy0g",NA,NA,NA,NA,"52.1359","-2.2117","anonymous","EN","1.0","542c1dd2fdf99b324f7632f0","1.0","1.0","1.0","2.0","56",2,2,2,1,3,4,5,3,3,2,4,2,2,2,1,3,3,5,3,5,4,5,5,4,5,5,5,3,5,5,5,5,5,5,5,1,5,1,5,3,3,2,4,2,4,4,4,4,2,3,3,4,2,3,3,2,4,3,2,4,4,2,1,5,1,3,5,1,5,5,5,5,1,2,1,3,3,3,1,1,5,3,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,1,1,1,1,2,4,4,4,4,1,4,3,2,3,2,2,1,2,3,1,2,2,3,2,2,3,1,2,3,4,2,4,4,4,4,5,2,2,4,4,4,3,3,3,3,2,2,2,"542c1dd2fdf99b324f7632f0",768,56,2,-0.912308846450022,57,89,65,36,15,52,13,24,46,51,"control","3","2"
"45574.64059027778","45574.64974537037","0.0","31.53.77.128","100.0","790.0","1.0","45574.64976826389","R_2akvln9RWYnN8Xv",NA,NA,NA,NA,"52.2417","1.5202","anonymous","EN","1.0","5e258b8b3d2e1b7e12b4ebda","1.0","1.0","1.0","2.0","62",2,2,1,3,2,2,3,2,2,1,3,2,2,1,3,4,2,5,2,2,4,4,4,4,5,4,5,4,4,4,5,3,3,3,5,2,5,3,5,3,4,2,2,3,2,5,1,4,1,1,2,3,1,1,1,5,3,5,4,3,2,4,3,5,5,5,5,4,5,4,2,1,5,4,1,5,1,5,1,5,2,1,3,3,2,3,1,3,2,2,2,2,2,1,1,4,4,4,1,1,1,1,5,4,4,3,1,1,1,3,3,3,1,1,3,2,1,2,2,1,1,1,3,1,1,2,2,2,2,5,5,5,5,4,4,3,3,3,2,2,4,3,3,2,2,"5e258b8b3d2e1b7e12b4ebda",790,62,2,-0.380755091792871,46,83,55,39,27,28,18,19,37,55,"control","3","3"
"45574.640127314815","45574.65315972222","0.0","94.2.38.252","100.0","1125.0","1.0","45574.65316863426","R_8lGQwr55yI0JVhW",NA,NA,NA,NA,"50.8435","-0.2166","anonymous","EN","1.0","66927eec3773ef328cddf0d2","1.0","1.0","1.0","2.0","43",2,2,5,1,1,4,4,2,4,1,4,2,4,4,3,2,2,5,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,3,3,1,2,1,1,2,1,4,1,1,1,1,1,1,1,4,5,4,1,4,4,1,1,5,5,2,4,2,4,4,2,1,4,1,1,4,3,5,1,3,5,2,1,3,3,4,1,5,4,4,4,2,4,1,1,3,3,1,1,1,1,1,4,4,4,4,1,5,5,2,3,3,4,1,3,4,2,3,2,3,2,2,4,2,2,3,3,2,3,4,4,4,5,2,3,2,4,5,3,4,4,3,4,4,3,"66927eec3773ef328cddf0d2",1125,43,2,-0.894145689096458,54,90,42,30,22,42,13,27,53,58,"control","3","3"
"45574.64078703704","45574.654444444444","0.0","92.15.128.158","100.0","1179.0","1.0","45574.65446834491","R_2GQM0S6CLcG0Ww9",NA,NA,NA,NA,"57.1453","-2.0945","anonymous","EN","0.8999999761581421","5e88e7185ae5fb580920c8c1","1.0","1.0","1.0","2.0","38",4,5,1,4,4,3,4,2,4,1,3,3,2,2,4,3,4,2,2,3,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,5,3,3,3,3,4,4,2,2,2,2,3,1,1,1,3,1,2,2,2,2,2,3,4,2,2,1,2,3,3,5,3,4,3,5,5,4,1,1,5,3,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,4,2,2,1,1,4,3,3,4,1,3,3,2,2,3,4,2,3,3,2,3,3,1,4,4,1,2,3,2,3,3,2,4,2,1,4,4,4,4,4,3,3,3,2,3,3,2,2,"5e88e7185ae5fb580920c8c1",1179,38,2,-0.942728754980027,60,73,47,34,22,14,17,21,52,48,"control","2","2"
"45574.64177083333","45574.65665509259","0.0","188.28.82.26","100.0","1285.0","1.0","45574.656662719906","R_8WxDdBMcAMh4ptT",NA,NA,NA,NA,"51.4781","-0.0279","anonymous","EN","0.5","666217b784a387f1ddd7a955","1.0","1.0","1.0","1.0","27",4,3,3,2,3,3,4,3,3,3,2,3,2,1,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,4,4,3,3,3,2,3,3,3,2,3,2,3,3,2,2,2,2,3,2,3,1,1,1,1,1,2,1,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,3,3,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,3,1,2,1,2,2,1,4,3,4,3,3,4,4,3,3,4,3,3,3,3,4,3,NA,1285,27,1,-0.957192715299921,58,65,57,15,9,14,14,11,29,54,"control","3","3"
